pinyin,label
wenshu,0
haopo,0
leying,1
manpo,1
chuxin,0
tangchang,1
funan,1
xingmin,0
tulai,0
danshan,1
yanmei,0
buyang,0
lingchi,0
jingzheng,1
gehe,1
yaopei,1
kaixiao,0
haowan,0
qianrong,1
kaige,1
yuanshuai,0
roubing,1
yuanmo,0
mingshun,0
xiuxia,0
yongxu,0
bingbian,0
xiawen,1
zhixun,1
xudong,0
mushang,1
puxian,0
rouzhen,0
quying,1
lianbai,0
qiongtong,1
guimeng,0
manchun,1
dingrui,1
youhong,1
zishun,0
mochen,0
benshan,0
luannan,0
muxing,1
yiyun,0
feilu,0
anqiang,0
lingmiao,1
jingguang,0
yizhang,1
shanmu,1
runqun,1
suqiong,0
shuangxin,1
kaile,1
funen,1
xiaoxu,1
yuehu,0
yandan,1
qinzhu,0
fengsong,0
ranjin,1
congchang,0
pakun,1
kaigeng,0
dacheng,1
shinuo,0
piaojie,1
zhuangbin,0
qiuzu,0
yaofei,1
meiying,0
yifang,0
shunshan,1
dening,0
shoukang,0
tuodi,1
zengze,0
zhoupei,0
diaowei,1
youjun,1
danan,0
wangyuan,1
hongshuo,0
pingping,0
milai,1
zixian,0
hongping,1
zuocheng,0
yuzuan,0
tianming,0
jinchuan,0
chencen,0
dangling,0
tingye,0
yinglian,1
xinhuo,0
zitang,1
bimai,1
ruicai,1
yukang,0
chunhang,1
haiding,0
zhenping,0
zhoutao,0
rennv,1
weifei,0
yezong,0
pengbao,0
mingqian,1
xiaopeng,1
guangling,0
banyu,1
manxue,1
tingrui,1
shengzhi,1
minbiao,0
huamei,1
hanmo,0
nuoyan,0
airuo,1
chaoshun,0
shunfan,0
naihao,0
guihe,0
jieqiao,1
zhiheng,1
pankuang,0
fanni,1
juanlin,0
xinmi,1
jingen,0
zijuan,1
beitong,1
bixiang,0
hanhai,1
xiange,0
jiesen,0
ningxia,0
guangtai,0
chongchou,0
wandan,0
jiangkun,0
luozhen,1
diying,1
kuanting,0
lingqiang,0
shunling,1
junbao,0
taicang,0
zhengtang,0
linghua,0
zhaodan,1
pianmi,1
hanjie,0
hantai,0
yaojing,0
xingmiao,1
yuchen,0
yirong,1
guizhen,1
chuanting,1
puqian,0
dangeng,0
jiafang,0
qinyou,1
longbao,0
yunbei,1
quanfei,0
dekang,0
biyi,1
luanhong,0
yanxiao,0
yudou,0
wanjin,1
qianzi,0
wangman,1
linde,0
fuji,1
xuran,1
weicheng,0
zhechen,0
minsheng,0
moqi,0
zhaoxi,1
zhangchi,0
yangguo,0
zhaosu,0
jinkou,0
chimu,0
zhiwang,0
yuanzhong,0
senbiao,0
bingshuo,0
tangrong,0
quezhi,0
shaoding,1
lizhi,1
wanying,0
jiuhang,0
shiye,0
chongdong,0
xuanchi,1
xingbian,0
zhaomiao,0
huangzhi,1
yaofu,1
lilian,1
hanglu,1
chunheng,0
minran,1
zien,0
baili,1
xinpi,1
miaokai,0
longhong,0
songzi,1
aoli,1
jinke,1
lingchuang,0
yinguang,0
zhenguo,0
shengfeng,1
bifei,1
guyuan,1
yigao,0
yuanmeng,0
weiren,0
qiebao,0
ruying,0
jiafan,0
huihuo,1
runbai,0
mingfeng,0
jiaken,0
hengze,0
sishu,0
donggao,0
ruibei,0
shaoling,1
jiangyi,0
xiarong,0
binnuo,0
guanshen,0
kunteng,0
fenggong,0
shuangxing,1
huocong,0
yugang,0
fuping,0
shangke,0
nuotang,1
lichi,0
dangzhan,0
qiushui,0
xingeng,1
sirou,0
ranwei,1
yaoling,1
xinglian,1
yashun,0
fanghong,0
runxiong,0
luanzhan,0
manzhi,0
xuxia,1
kongmiao,1
cailv,1
caijun,0
wulan,1
zhangwen,1
cenjing,1
zhanhong,1
ruishu,0
shunshuo,1
shufan,1
songde,0
huanyou,0
chuanping,0
poshe,0
wati,0
wuqing,0
pingfang,1
zhenyao,0
laiguan,0
jindi,1
zhuanqu,0
xinche,0
sanzheng,0
xuanguang,0
xiandan,1
fuwen,1
zhifen,0
haichao,1
size,0
xiangtu,0
yinsha,1
shanju,1
pingshuo,1
wobin,0
yingshua,1
yuanjiao,1
cengchen,0
yingfei,1
tongzhe,0
gaiping,0
maolong,0
chiao,0
zeling,1
nanhao,1
fanrao,0
lianlan,0
tingcai,0
kuanji,0
mengxia,1
wendi,0
beixun,0
longsheng,0
rourou,1
xiankong,0
junren,0
diaojia,1
sai,1
fucheng,0
zhuyou,1
wanze,0
dinuo,0
binmu,0
zelei,0
hanteng,1
bingkun,1
suilu,0
dashui,0
shanyun,1
zuolin,0
liangshan,0
wangyou,0
mengchun,0
wanzong,0
runzi,1
tonglan,1
miaozhu,0
xiurong,1
qikuan,0
haogong,0
yuanxiang,1
luoyao,1
shenmiao,0
pengze,0
suizhen,1
xiji,0
changxun,0
yuepei,1
dianxin,1
ranxing,1
yuehua,0
beilan,0
shitou,0
hangzhang,0
shangxing,0
xuyang,1
shikuai,0
caier,0
bian,0
fanglu,0
botong,1
jiayao,0
yihong,0
julong,0
diaoren,1
panyong,1
shangman,1
qingfu,0
jieyu,1
baoe,1
baien,0
sanshu,1
kunshan,0
wanfan,1
yefen,1
muteng,0
menglan,0
gongyan,0
qiyao,0
xingbin,1
liangqing,0
yaohuang,0
hongzan,0
enuo,1
zhongnan,0
youchang,1
changneng,0
baidi,0
heyi,1
chengyu,0
jixu,1
chanyan,1
liangmiao,1
pengchang,0
congshuang,0
sharuo,1
quanyang,0
ruizi,1
yekun,0
meifa,1
cunhui,0
tingduo,0
pingxuan,1
tianshun,0
chenlan,1
panzi,0
xuanang,0
qingquan,0
jianxi,0
xiela,0
hanyan,0
linmiao,0
lezhu,0
rusheng,0
guangtao,0
kaibo,0
diya,0
tiaohan,0
yingmi,1
mike,1
huixian,1
jinteng,1
zhaxi,0
jianzhu,1
ningzheng,1
mengjia,1
shanggang,0
youzai,0
yanxiang,1
xiulan,1
geyun,1
yushun,1
yaozhi,1
hualia,0
hushi,0
lilian,0
ruoming,1
huihe,1
taihong,0
chengli,1
meiru,0
jinglu,1
kangyue,1
fengyou,0
gaohang,0
xiuda,1
nuantian,1
xiaobo,1
sidiao,1
xueliu,1
yehuan,1
xuemiao,0
guangpu,0
yehan,0
nuanke,1
hanlin,1
xiankang,0
yuanqin,1
yongfan,1
enlan,1
erchong,0
longgu,1
meihang,0
chentong,0
shixing,0
lanchi,0
xinxie,1
jieshen,0
yuewan,1
xinshan,0
bangming,0
zhizheng,0
lingyang,0
er,0
ousong,0
sunuo,0
zhaoxi,0
tongning,1
buman,0
meixiang,0
chenxun,1
zhouxi,1
haiping,1
luanxi,0
chenyi,1
luanhua,0
dingxuan,1
danxiao,1
baxue,1
rangzhan,0
jinbin,0
wenge,1
qunhe,1
yongjing,1
shuangzhu,1
mengjun,0
diede,0
fanchang,0
kuntai,0
xini,0
junxin,0
weiyao,0
bingshan,1
ningshuang,1
hongchong,0
guayu,0
pengtan,0
yuedan,0
puling,0
xuzhi,1
yuejuan,1
kaiyin,0
haozhu,0
naiming,0
songyue,1
youmu,1
yuanxiang,0
zhezhi,0
yiyue,0
yuanpai,0
liuxi,1
haoqing,1
yinghua,0
yexin,1
jiu,1
ruojin,0
tianmou,0
lujuan,1
junli,0
nenlan,1
xunquan,1
jiufa,0
zuyang,0
chuanzhi,0
qiuke,0
xujuan,1
qiaolian,0
biyuan,1
chengshuai,0
zhijie,0
tianli,1
runyi,0
xinnie,0
youpu,0
bashi,0
xiakao,1
hexiang,0
xinggao,1
wenlin,0
nanen,0
qingzi,1
mengsong,1
lingtai,0
songshan,0
duoping,0
fuxian,0
lianwen,0
shunqin,1
xiangxue,1
suwu,1
zuen,1
furang,1
yunjian,0
wa,0
agan,0
tianmiao,1
shamiao,1
yanming,0
tingshi,0
ningmeng,0
diaojing,1
yinjian,0
qionglong,0
lequan,0
nengchen,1
renzhen,1
changyou,0
guanbei,1
yingyue,1
lirui,0
congxuan,0
changzhen,1
cunan,0
tianmiao,0
tianfei,1
rongyi,1
ci,0
huizai,1
guoneng,0
langzhuo,0
panyi,1
yatian,1
doubo,0
qiongsu,1
ruoyang,0
leizhu,1
guange,1
longzhao,0
lianlu,1
biezhu,1
quanzhen,1
jianxia,0
linlang,0
hengling,0
xianyao,0
duoxiang,0
detuan,0
fenglian,1
daixin,1
kaihai,0
jiucai,0
fanglian,1
canquan,0
weidi,1
xinhuan,1
caihui,1
yunxing,1
zhiqiao,1
zecen,1
yaqiu,0
ruxuan,1
xiajia,0
pinchao,0
heren,1
jingwang,0
jiashuo,0
tingrong,1
changzhu,1
zhifeng,0
zhanlong,0
huaidiao,1
zhongyang,0
yanya,0
longqiong,0
bangfu,0
xianrou,1
chiluan,0
qingyuan,0
yiru,1
jingqiao,1
xuanlin,1
hezu,1
suchuang,0
xingxuan,1
meicong,0
leimin,0
runqi,0
yuxiong,1
feixing,0
weimiao,1
jidong,1
luping,1
puyang,0
pingjue,1
daorong,0
kaihua,0
chenjuan,1
yesha,1
pouxue,1
bolei,0
hongyuan,1
poyuan,0
zhenghuan,0
bianchao,0
yueren,0
yunxian,1
lianguo,1
poku,0
fukai,0
jinkai,1
moqing,1
yudan,0
gangjiang,0
lingzhu,1
xianhuo,0
meixin,1
zhuzi,0
baohang,0
ganyun,0
zhaochong,1
suizhen,0
chuyin,0
shanyi,0
xiujie,1
jianzhong,1
panxia,1
qiulian,1
zhengtao,0
zhouguo,0
wuzuo,0
mingji,0
miaopin,1
zhaonuo,0
juexiao,0
dapei,0
zhaoran,1
kequan,0
shuixi,0
yongjiong,0
leiwen,1
xiongren,0
menyao,0
liming,0
chengpan,0
zongyuan,1
kunming,0
lengfan,0
rongkang,0
qianlei,1
yinwan,1
tongqing,1
zhanzhan,0
yuyuan,1
zeyao,0
fenghan,1
yunshu,1
lingyi,0
yiqie,0
fuxian,1
pingwu,1
kaitong,1
mengzhi,0
guofu,0
leidi,1
shiguang,0
genxu,0
jianfei,0
yonghu,0
gengman,1
kaidong,1
jifen,1
hongqiao,1
nuozhuo,0
nianfang,1
tianle,0
cangdiao,0
panghong,1
shihang,1
annuo,0
quying,0
guomei,0
hanzhe,0
zairui,0
yanju,0
ziya,1
zhanquan,0
rangshan,0
lingquan,0
cengri,1
changou,0
peiqin,0
shuoran,0
yingzhan,1
huaiyu,0
suiyun,0
liyong,1
zhaluo,0
tenghao,0
nuomei,0
chaoyong,0
ruoxian,1
liangfan,0
jingfen,1
zhengliang,0
huaijun,1
shenjiu,0
qunrui,1
zhiceng,0
bowen,0
shusu,0
tingheng,1
kanghui,0
guanzuan,0
wanjiao,1
yaowu,1
yugui,0
boxun,0
jingshu,1
xiquan,0
dinggan,0
taowan,1
qiuye,0
chenghai,0
shanjun,0
huangteng,0
lingjiao,1
chenchi,0
luankan,0
chongsheng,0
xingshen,0
qianling,1
kailang,0
chuanda,0
yangjue,0
tianzao,0
lihu,1
heyang,0
huangwan,1
ruiyi,0
yexie,1
qicen,1
qiuguan,1
baixiao,1
longshan,0
feise,0
shanfan,1
shengkai,0
panming,0
yucen,0
yefan,1
xiaorou,0
rongyu,1
aobo,0
chenlei,0
tingnan,0
michen,1
qifu,1
shaowan,1
zhaiji,1
cimei,1
qianxue,1
feiwei,0
qiumin,1
yuerui,0
chucen,1
tongfang,0
maizhen,0
qiyan,1
chengheng,0
yukai,1
pinglian,1
yunlin,1
zhenye,1
zanzan,1
yalang,1
mingche,0
niuxuan,1
beichi,1
yanen,0
duoshan,1
danchun,1
ruluan,0
lipo,0
huanghe,0
haolin,0
lihong,1
danruo,0
xinnuo,0
qinqiang,0
zhuoxiu,1
cihan,1
jiu,0
xiangyao,1
xinjiao,0
yuqun,1
yueqiang,0
canxin,0
zhebo,0
ruyuan,1
yikui,1
shanzhen,0
xueqiu,1
jicen,1
jiuqing,0
xiaomu,1
huaizhun,0
shaoxuan,1
yongxiao,0
xinang,0
jiajue,1
zhaoqiang,0
fantian,1
fanzhi,0
shuxiao,0
shangluo,0
lianchang,1
shouyin,0
youlai,1
qiangqiang,0
mingren,0
xiahe,1
mingping,0
jianhong,0
baocheng,0
fanze,0
zhuoxian,0
feie,1
huaihan,1
qunmei,1
zhengjia,0
yidong,0
huoshu,1
bachi,1
zhilun,0
jumei,0
cerui,0
chiyuan,0
weijuan,0
huaiping,0
hanmou,0
xueyan,0
shanzeng,0
rangwen,0
qiongyue,0
lanyun,0
yong,1
wuren,0
dongzhen,0
zhulian,1
laiman,1
peiting,1
ligan,0
lengjiang,0
tongbang,0
jiaoshou,1
luopei,0
maochen,0
peikeng,0
tizao,1
tinggang,1
yuliao,1
honggan,0
zhubian,0
huajuan,0
yanben,0
dengshun,0
yage,0
tianjiong,0
yangde,0
bangshao,0
yunchun,1
hongheng,0
chongwen,1
shufa,0
xianshan,1
yunsha,1
lveli,0
xiaoxuan,1
xibao,0
jiru,0
liju,0
cunyin,1
shayu,0
fanbang,0
jizhang,0
wenmin,0
ruixing,0
zhenyuan,1
jiangqu,1
yanchuan,1
luchan,1
congwen,1
shilve,0
tubian,0
xuqing,1
shuochang,1
baijun,0
shanpo,0
sangyi,1
juezhao,1
xuanxian,0
huanxing,0
guangzu,0
suzhen,1
shunxin,1
taowei,1
huorui,0
sumu,1
keyun,0
kuobian,0
shenqi,0
weiguan,1
gangyao,1
shaotang,0
haozhao,0
buhan,0
shaofen,0
yancui,1
tengjiao,1
kunting,1
hetong,1
zhenjiao,0
yusheng,1
xuanlan,1
songke,1
gangyang,0
yaoheng,0
lesi,0
shanwai,0
nvyou,1
yingdan,0
chidao,0
chenshi,1
dailin,0
zidian,0
xiexie,0
taiyao,0
chuancheng,0
xuzhen,1
youjing,0
liyang,1
daozheng,0
leimian,1
chanjin,1
guanfang,1
congduo,1
huaihuai,0
jinzhuo,1
jiluo,0
bianlan,1
guangran,0
huanbing,0
dun,0
yongmian,0
wanlong,0
manmei,0
lingyin,1
daoyang,0
tijian,0
yangda,1
hantai,1
yuhuan,0
yemao,0
yaoxun,0
ruochen,0
decai,1
ruoen,0
citian,0
jingruo,0
leshuang,0
fen,1
quanchan,1
dansong,1
ermei,0
fengze,0
huaifang,0
qiuxiang,1
wanni,0
hanxun,0
nuoqin,1
borong,1
lanqie,1
shanling,1
yanye,1
shuangbin,0
xiaqi,0
yuandong,0
haoshuai,0
duokun,0
donglin,1
yunman,0
jiutian,1
peiwen,0
panyin,1
shuoluo,0
puyu,0
huachang,0
xian,0
xiuming,0
jincang,0
mincai,0
lei娳,1
shenjie,0
peixiang,1
zuoyun,0
xuer,1
xiaoting,1
duoqi,1
shouping,0
shufen,1
nuohua,1
jixian,0
ziqiao,1
pocun,1
mian,0
lanyuan,0
ningsui,0
enjiao,0
wengli,1
dingxin,0
qiangsheng,0
tianjian,0
sunyi,1
guoxiu,0
yuanshuang,0
mai,0
zhexian,0
sicong,0
cheyin,0
fuxin,1
yunai,1
fushan,0
linqi,0
taofeng,1
pidiao,1
hualeng,0
guiyun,0
zhenjun,1
layu,0
hongzi,0
shenghui,0
tengshang,0
peihun,0
faguang,0
jingtian,0
meigeng,0
meijie,0
mingke,0
moling,1
sizhuang,0
fanji,0
couzong,0
tianju,1
fangrui,1
tongxu,0
diaochong,1
yingzhuo,0
xiangwei,0
xuanyan,1
fengshi,0
xiaodou,0
lunqian,0
linming,1
zhuoji,0
qianquan,0
ningcan,0
daoxiao,0
wubai,0
dehao,0
mengtai,1
yinfu,0
meichan,1
guoxin,0
yinfei,0
yuanping,1
chuanshan,0
wuwu,0
rouyi,1
yunkui,0
xiluan,1
zhaojin,0
tanyin,0
tingxian,0
kunnuo,1
ruizan,0
tanguan,0
zaiqin,1
jiani,0
haozhen,0
qinxian,1
jiazi,1
xiangran,1
chuqing,0
qiushuang,1
wanxiu,1
wende,0
runting,0
youzhou,0
yicen,1
xiesi,0
shenquan,0
dami,0
nengbang,0
xiangmiao,0
wenqiong,1
denghao,0
luolei,0
lianxiang,1
xiaoqi,0
pianxin,1
yipi,0
linrang,1
xiaolan,0
maitong,0
ruohuo,1
xinshao,1
fanggui,0
zhuochi,0
yedan,1
yinjiang,1
duntong,0
hanru,0
xiuzhen,0
wangma,0
nuxue,1
liduan,0
xiangluan,0
zaiying,1
leiren,0
guoyi,1
bangxun,1
zhetong,0
xirong,0
feiran,1
feixu,1
benchen,1
xinbang,0
hongzhu,0
meiyuan,0
sinian,1
ranran,1
xinyun,0
chengxu,0
xuannuo,0
buwei,0
aoyun,0
yiguang,0
jiongqiu,0
houwen,1
chenxu,0
cungang,0
fagei,0
jiaojue,1
qianzhi,0
chuan,1
tongsa,0
guangcheng,0
xianzao,0
luoling,0
shaohuan,1
jinsheng,1
exin,1
wanru,0
yongkai,0
lukong,1
zhuanyin,1
cengming,0
xiangtian,1
zhengfeng,1
shidao,0
bingrong,0
xuelei,0
guruo,1
hannan,0
suiyong,0
qianrou,0
shikui,0
rushan,0
yutou,0
xingshu,1
wangang,0
mianman,1
yecong,0
rongming,1
liuzhi,0
pinliang,1
qiupeng,1
fenni,1
runce,0
rouyun,1
xingwen,1
shaozi,1
jichang,1
erzheng,0
yexiong,0
siming,1
canruo,1
huairou,0
caicang,0
huaxing,0
sizi,0
diran,1
bingrui,1
hanhua,1
fentao,1
shalei,1
xiaomei,0
shumo,1
shaoling,0
fulu,0
rigeng,0
xuming,0
reyi,0
oujing,1
daozi,0
wude,0
zhuye,0
qingyun,1
mitong,0
longren,1
yanshuo,0
songhua,0
jianhong,1
an,1
huakang,0
badu,0
yashan,0
xinliu,0
zhoulie,0
meizhan,1
rouni,1
houbin,0
lantong,1
minde,0
sizi,1
daoqi,0
bocan,0
congli,1
zexin,1
shuke,1
yaoduo,0
xiazhu,1
mieyin,1
yanchang,1
zhuitian,0
keshi,0
tengwan,1
tiwu,0
ranjing,1
fengfan,0
zedong,1
xuegang,0
lincheng,1
lou,0
chuxia,1
yangmiao,1
minzhang,1
zhongyun,0
jiemin,0
muxun,1
hejiang,0
xinpiao,1
jiachu,0
panxuan,0
houzi,0
zhenjiang,0
xinhua,0
dunying,0
shunjian,0
shuangbing,0
nidi,0
huaihao,0
fengrui,1
lucun,0
yincan,0
longgan,0
ziou,1
yunqing,0
shuoce,0
hanbai,1
dongnuo,0
fanglong,0
shuluo,1
chichi,0
liniu,1
rouhuai,1
tingchun,1
juanmiao,1
ruoqing,1
baican,0
sijian,1
kecheng,0
wenming,0
guichi,0
zepeng,0
huairuo,1
zhuocha,1
yuehai,0
wayi,1
pixuan,1
junbo,0
ranjin,0
zhuanmei,1
ousheng,1
binshan,1
liandan,1
yinda,0
guogong,0
bayu,1
jianzhang,0
chengang,0
yueju,1
rundai,0
jiangrui,1
shanpeng,0
tianzhi,1
yunru,0
nanxin,1
huangkai,0
haoman,0
nuoyong,0
wanhan,1
xucheng,0
deluan,0
zhenchen,0
yaozhuo,0
queyan,1
danyun,0
xuexiao,1
texiang,0
shiliu,1
niesen,0
mile,0
qinzhen,0
jinglong,1
yubin,1
yixian,0
caiqing,1
tanbei,1
yundang,1
kaigui,0
canyou,0
faxuan,0
biqing,1
huimei,1
wupo,1
yunyou,1
jingxue,1
fujiao,0
zhaowu,0
nianlian,0
hongsheng,0
congkun,0
benlan,1
haoxi,1
youcheng,0
xinjie,1
mengxu,0
mini,1
jilei,0
fuweng,0
huanji,0
xiankuo,0
peiying,1
lingsheng,0
guiju,0
chizhuan,0
guanren,0
yiqian,0
yiben,0
bingda,0
fawu,0
ruxi,1
huijia,0
wanshuo,0
ruchu,1
zhire,1
fulong,0
runfeng,0
tingwo,0
wenshi,0
hecheng,0
xujiang,0
chunru,1
juzhi,0
zhaoxue,1
yunfei,1
yongxu,1
shanglong,1
baolei,0
zhizhan,0
xuge,0
mengqian,1
nailing,0
jiaoying,0
yuechang,0
xiaoshuai,0
chuanghai,0
anchang,0
cunfeng,0
tuosui,0
sucai,0
hancen,1
gunan,1
daozu,0
qinyue,0
tiaotan,1
aijun,0
junheng,1
maifei,1
jinqi,0
damin,0
kaixu,0
fengmiao,0
meile,0
ruijiong,0
yanqie,1
yuanhai,0
youda,0
kuolian,1
fanfei,0
xinqia,1
shouye,0
changen,0
zhengde,0
hengfei,1
yanglian,0
lingteng,0
xucai,1
chayuan,1
fanyun,1
xiaoqiao,1
beinan,0
yuhun,1
binfei,0
fangrong,1
dazhao,0
wenlve,0
hengle,0
kangxin,1
kailuan,0
naoshu,1
wugu,0
shuangling,1
fengya,0
gangxi,0
daiyi,0
songjing,1
chining,0
yuefeng,1
shuoxin,0
chaoqi,0
lianzhan,0
ningqian,0
dezi,0
meigao,1
ningman,1
zengshun,0
wenke,1
zigang,0
hanke,1
xiaocheng,1
guifeng,1
tingmian,0
youxun,0
tianjun,1
sangui,0
zechen,0
ruocen,1
xinxuan,1
wangfei,0
landuo,0
bianren,1
limeng,0
leipu,1
zhaoyuan,0
qianyou,0
kuanchang,0
bingsen,0
pinghui,0
xiaozan,0
tangfeng,0
zhou,1
qugao,1
guidi,1
yacong,0
jiquan,1
taixing,0
xunjing,1
yuanling,1
youdiao,0
xinken,1
cunxiang,1
zhiyang,1
yunfa,0
houquan,0
jinliu,1
lvtai,0
minbing,0
zhengze,0
xiaodan,0
xunxiao,0
lingqin,1
shuisheng,0
tingyi,0
bingding,0
xuanzhi,0
siqin,0
maogang,0
fumian,1
dejun,0
zhubin,0
demao,0
tangkuang,0
nvchong,1
luopu,0
qifei,1
enbao,0
enping,1
zuoyou,0
wenrui,0
wenge,0
jinniu,0
rutao,0
guoda,0
piaoyin,1
ruoqing,0
shenhua,0
chunhan,1
pajing,1
wangjun,0
raoxi,1
roujin,0
bier,1
changtao,0
shanchu,0
shunfeng,1
haoqian,1
qianglu,0
yucong,1
